weight,sport,gold,silver,bronze,total
72,aquatics,9,7,3,19
90,aquatics,10,4,4,18
68,aquatics,6,5,6,17
74,aquatics,6,6,1,13
60,aquatics,3,5,5,13
61,aquatics,2,4,6,12
56,aquatics,4,0,7,11
64,aquatics,3,4,3,10
77,aquatics,2,5,3,10
62,aquatics,1,5,4,10
58,aquatics,3,4,3,10
88,aquatics,6,1,2,9
75,aquatics,0,4,4,8
65,aquatics,5,2,1,8
67,aquatics,2,2,3,7
70,aquatics,2,2,3,7
59,aquatics,1,2,4,7
86,aquatics,5,1,1,7
79,aquatics,2,1,3,6
84,aquatics,1,4,1,6
95,aquatics,1,1,4,6
76,aquatics,1,4,1,6
102,aquatics,2,0,4,6
48,aquatics,2,0,3,5
85,aquatics,0,3,2,5
92,aquatics,2,2,1,5
87,aquatics,0,3,2,5
52,aquatics,2,2,1,5
69,aquatics,2,1,2,5
54,aquatics,2,1,2,5
53,aquatics,1,1,2,4
73,aquatics,1,1,2,4
71,aquatics,1,1,2,4
93,aquatics,2,1,1,4
83,aquatics,2,2,0,4
89,aquatics,3,1,0,4
80,aquatics,2,2,0,4
55,aquatics,2,1,1,4
78,aquatics,2,2,0,4
99,aquatics,0,3,0,3
97,aquatics,2,0,1,3
66,aquatics,0,2,1,3
49,aquatics,3,0,0,3
50,aquatics,1,0,2,3
115,aquatics,0,2,0,2
100,aquatics,1,0,1,2
96,aquatics,1,0,1,2
98,aquatics,1,0,1,2
81,aquatics,1,0,1,2
106,aquatics,1,1,0,2
91,aquatics,2,0,0,2
104,aquatics,1,0,0,1
109,aquatics,0,1,0,1
51,aquatics,0,1,0,1
82,aquatics,0,0,1,1
101,aquatics,1,0,0,1
105,aquatics,1,0,0,1
57,aquatics,0,1,0,1
103,aquatics,0,1,0,1
46,aquatics,0,1,0,1
47,aquatics,0,0,0,0
113,aquatics,0,0,0,0
45,aquatics,0,0,0,0
120,aquatics,0,0,0,0
110,aquatics,0,0,0,0
39,aquatics,0,0,0,0
107,aquatics,0,0,0,0
125,aquatics,0,0,0,0
108,aquatics,0,0,0,0
40,aquatics,0,0,0,0
63,aquatics,0,0,0,0
118,aquatics,0,0,0,0
130,aquatics,0,0,0,0
94,aquatics,0,0,0,0
57,archery,1,1,1,3
63,archery,0,2,1,3
86,archery,0,1,1,2
84,archery,2,0,0,2
77,archery,0,1,1,2
53,archery,1,0,1,2
50,archery,2,0,0,2
70,archery,0,1,0,1
102,archery,0,0,1,1
80,archery,1,0,0,1
60,archery,0,0,1,1
68,archery,0,1,0,1
83,archery,0,1,0,1
69,archery,0,0,1,1
95,archery,1,0,0,1
72,archery,0,0,0,0
89,archery,0,0,0,0
65,archery,0,0,0,0
76,archery,0,0,0,0
90,archery,0,0,0,0
75,archery,0,0,0,0
55,archery,0,0,0,0
42,archery,0,0,0,0
51,archery,0,0,0,0
73,archery,0,0,0,0
64,archery,0,0,0,0
52,archery,0,0,0,0
61,archery,0,0,0,0
115,archery,0,0,0,0
46,archery,0,0,0,0
79,archery,0,0,0,0
74,archery,0,0,0,0
48,archery,0,0,0,0
81,archery,0,0,0,0
87,archery,0,0,0,0
58,archery,0,0,0,0
98,archery,0,0,0,0
59,archery,0,0,0,0
105,archery,0,0,0,0
82,archery,0,0,0,0
96,archery,0,0,0,0
56,archery,0,0,0,0
130,archery,0,0,0,0
92,archery,0,0,0,0
78,archery,0,0,0,0
66,archery,0,0,0,0
88,archery,0,0,0,0
58,athletics,8,4,4,16
57,athletics,3,7,1,11
70,athletics,4,3,4,11
72,athletics,4,4,1,9
80,athletics,1,3,3,7
68,athletics,2,1,2,5
74,athletics,2,1,2,5
55,athletics,2,2,1,5
65,athletics,1,3,1,5
95,athletics,4,0,1,5
85,athletics,3,1,1,5
61,athletics,0,2,3,5
81,athletics,3,1,0,4
71,athletics,1,1,2,4
60,athletics,1,1,2,4
75,athletics,1,0,3,4
62,athletics,0,1,3,4
56,athletics,2,1,1,4
67,athletics,0,3,1,4
47,athletics,1,2,1,4
120,athletics,1,1,1,3
77,athletics,0,2,1,3
76,athletics,1,0,2,3
64,athletics,0,1,2,3
45,athletics,1,0,2,3
50,athletics,1,1,1,3
86,athletics,2,0,1,3
69,athletics,1,1,0,2
51,athletics,1,1,0,2
40,athletics,1,1,0,2
59,athletics,1,0,1,2
53,athletics,0,1,1,2
54,athletics,1,0,1,2
92,athletics,1,0,1,2
84,athletics,1,1,0,2
83,athletics,1,0,1,2
66,athletics,0,1,1,2
79,athletics,0,0,2,2
133,athletics,0,1,0,1
128,athletics,0,0,1,1
88,athletics,1,0,0,1
63,athletics,0,1,0,1
93,athletics,1,0,0,1
90,athletics,0,0,1,1
73,athletics,1,0,0,1
124,athletics,1,0,0,1
125,athletics,0,0,1,1
42,athletics,0,1,0,1
94,athletics,0,1,0,1
136,athletics,1,0,0,1
105,athletics,0,1,0,1
49,athletics,0,1,0,1
130,athletics,0,1,0,1
123,athletics,1,0,0,1
52,athletics,0,1,0,1
110,athletics,0,1,0,1
43,athletics,1,0,0,1
145,athletics,0,0,0,0
117,athletics,0,0,0,0
108,athletics,0,0,0,0
91,athletics,0,0,0,0
104,athletics,0,0,0,0
132,athletics,0,0,0,0
155,athletics,0,0,0,0
101,athletics,0,0,0,0
135,athletics,0,0,0,0
127,athletics,0,0,0,0
138,athletics,0,0,0,0
89,athletics,0,0,0,0
154,athletics,0,0,0,0
113,athletics,0,0,0,0
99,athletics,0,0,0,0
46,athletics,0,0,0,0
97,athletics,0,0,0,0
142,athletics,0,0,0,0
82,athletics,0,0,0,0
98,athletics,0,0,0,0
144,athletics,0,0,0,0
122,athletics,0,0,0,0
44,athletics,0,0,0,0
100,athletics,0,0,0,0
48,athletics,0,0,0,0
102,athletics,0,0,0,0
41,athletics,0,0,0,0
140,athletics,0,0,0,0
126,athletics,0,0,0,0
106,athletics,0,0,0,0
160,athletics,0,0,0,0
115,athletics,0,0,0,0
87,athletics,0,0,0,0
134,athletics,0,0,0,0
39,athletics,0,0,0,0
112,athletics,0,0,0,0
139,athletics,0,0,0,0
114,athletics,0,0,0,0
119,athletics,0,0,0,0
96,athletics,0,0,0,0
111,athletics,0,0,0,0
78,athletics,0,0,0,0
150,athletics,0,0,0,0
116,athletics,0,0,0,0
118,athletics,0,0,0,0
165,athletics,0,0,0,0
157,athletics,0,0,0,0
103,athletics,0,0,0,0
68,badminton,0,3,0,3
70,badminton,0,1,1,2
65,badminton,1,1,0,2
75,badminton,1,0,1,2
60,badminton,1,0,1,2
72,badminton,1,0,0,1
80,badminton,0,0,1,1
59,badminton,0,0,1,1
62,badminton,1,0,0,1
51,badminton,0,0,1,1
71,badminton,0,1,0,1
77,badminton,0,1,0,1
56,badminton,0,1,0,1
50,badminton,1,0,0,1
88,badminton,0,0,1,1
81,badminton,1,0,0,1
78,badminton,1,0,0,1
83,badminton,0,0,0,0
90,badminton,0,0,0,0
93,badminton,0,0,0,0
85,badminton,0,0,0,0
79,badminton,0,0,0,0
54,badminton,0,0,0,0
57,badminton,0,0,0,0
52,badminton,0,0,0,0
58,badminton,0,0,0,0
63,badminton,0,0,0,0
82,badminton,0,0,0,0
64,badminton,0,0,0,0
69,badminton,0,0,0,0
55,badminton,0,0,0,0
61,badminton,0,0,0,0
86,badminton,0,0,0,0
73,badminton,0,0,0,0
76,badminton,0,0,0,0
92,badminton,0,0,0,0
74,badminton,0,0,0,0
67,badminton,0,0,0,0
66,badminton,0,0,0,0
84,badminton,0,0,0,0
90,basketball,1,3,1,5
99,basketball,3,1,0,4
72,basketball,1,1,2,4
115,basketball,0,1,2,3
93,basketball,1,1,1,3
104,basketball,2,1,0,3
70,basketball,2,0,1,3
107,basketball,0,1,1,2
109,basketball,1,0,1,2
84,basketball,0,0,2,2
74,basketball,1,1,0,2
94,basketball,1,1,0,2
77,basketball,1,0,1,2
102,basketball,1,1,0,2
68,basketball,0,2,0,2
82,basketball,0,0,2,2
60,basketball,0,1,1,2
79,basketball,2,0,0,2
96,basketball,0,2,0,2
87,basketball,1,0,0,1
64,basketball,0,1,0,1
130,basketball,0,1,0,1
86,basketball,1,0,0,1
73,basketball,0,0,1,1
122,basketball,1,0,0,1
76,basketball,0,0,1,1
120,basketball,1,0,0,1
112,basketball,0,1,0,1
83,basketball,0,0,1,1
78,basketball,0,1,0,1
91,basketball,0,0,1,1
75,basketball,0,0,1,1
62,basketball,0,1,0,1
71,basketball,0,1,0,1
80,basketball,0,0,1,1
100,basketball,0,0,1,1
65,basketball,0,0,1,1
69,basketball,0,1,0,1
97,basketball,1,0,0,1
88,basketball,1,0,0,1
66,basketball,1,0,0,1
63,basketball,0,0,1,1
61,basketball,0,0,0,0
106,basketball,0,0,0,0
58,basketball,0,0,0,0
57,basketball,0,0,0,0
121,basketball,0,0,0,0
85,basketball,0,0,0,0
114,basketball,0,0,0,0
95,basketball,0,0,0,0
118,basketball,0,0,0,0
113,basketball,0,0,0,0
110,basketball,0,0,0,0
125,basketball,0,0,0,0
108,basketball,0,0,0,0
103,basketball,0,0,0,0
92,basketball,0,0,0,0
137,basketball,0,0,0,0
117,basketball,0,0,0,0
98,basketball,0,0,0,0
105,basketball,0,0,0,0
67,basketball,0,0,0,0
89,basketball,0,0,0,0
53,basketball,0,0,0,0
63,canoe,4,1,3,8
85,canoe,2,2,3,7
70,canoe,0,6,1,7
90,canoe,3,1,3,7
68,canoe,0,3,2,5
80,canoe,1,2,2,5
78,canoe,2,2,1,5
95,canoe,1,1,1,3
76,canoe,2,1,0,3
89,canoe,1,1,1,3
93,canoe,1,1,0,2
62,canoe,2,0,0,2
98,canoe,1,0,1,2
75,canoe,0,0,2,2
82,canoe,1,0,1,2
115,canoe,0,1,1,2
81,canoe,1,1,0,2
92,canoe,2,0,0,2
88,canoe,1,1,0,2
67,canoe,0,0,2,2
55,canoe,1,0,0,1
94,canoe,0,1,0,1
83,canoe,0,1,0,1
60,canoe,0,0,1,1
69,canoe,0,0,1,1
64,canoe,1,0,0,1
79,canoe,0,0,1,1
65,canoe,0,0,1,1
73,canoe,0,1,0,1
87,canoe,0,0,0,0
71,canoe,0,0,0,0
97,canoe,0,0,0,0
100,canoe,0,0,0,0
59,canoe,0,0,0,0
99,canoe,0,0,0,0
50,canoe,0,0,0,0
57,canoe,0,0,0,0
72,canoe,0,0,0,0
77,canoe,0,0,0,0
56,canoe,0,0,0,0
58,canoe,0,0,0,0
54,canoe,0,0,0,0
61,canoe,0,0,0,0
102,canoe,0,0,0,0
96,canoe,0,0,0,0
66,canoe,0,0,0,0
74,canoe,0,0,0,0
86,canoe,0,0,0,0
91,canoe,0,0,0,0
84,canoe,0,0,0,0
65,cycling,1,3,4,8
56,cycling,4,1,1,6
70,cycling,2,2,1,5
66,cycling,1,3,1,5
82,cycling,2,1,1,4
93,cycling,1,3,0,4
81,cycling,4,0,0,4
77,cycling,0,3,1,4
69,cycling,1,1,2,4
73,cycling,1,0,3,4
90,cycling,1,1,1,3
74,cycling,1,1,1,3
62,cycling,1,1,1,3
64,cycling,0,1,1,2
50,cycling,1,0,1,2
54,cycling,0,2,0,2
58,cycling,1,0,1,2
61,cycling,0,0,2,2
80,cycling,0,1,1,2
67,cycling,0,0,2,2
88,cycling,1,0,1,2
78,cycling,1,0,0,1
72,cycling,0,0,1,1
100,cycling,0,0,1,1
68,cycling,1,0,0,1
63,cycling,0,1,0,1
59,cycling,0,0,1,1
83,cycling,0,1,0,1
55,cycling,1,0,0,1
79,cycling,1,0,0,1
76,cycling,0,1,0,1
45,cycling,0,0,0,0
52,cycling,0,0,0,0
47,cycling,0,0,0,0
87,cycling,0,0,0,0
71,cycling,0,0,0,0
85,cycling,0,0,0,0
60,cycling,0,0,0,0
96,cycling,0,0,0,0
95,cycling,0,0,0,0
49,cycling,0,0,0,0
92,cycling,0,0,0,0
51,cycling,0,0,0,0
75,cycling,0,0,0,0
53,cycling,0,0,0,0
89,cycling,0,0,0,0
97,cycling,0,0,0,0
48,cycling,0,0,0,0
46,cycling,0,0,0,0
86,cycling,0,0,0,0
57,cycling,0,0,0,0
70,equestrian,5,3,1,9
80,equestrian,1,1,2,4
57,equestrian,1,2,0,3
54,equestrian,1,0,2,3
65,equestrian,0,2,1,3
58,equestrian,0,1,2,3
63,equestrian,2,1,0,3
76,equestrian,1,0,1,2
73,equestrian,1,0,1,2
55,equestrian,1,1,0,2
68,equestrian,0,0,2,2
66,equestrian,1,1,0,2
71,equestrian,0,0,1,1
85,equestrian,0,0,1,1
75,equestrian,0,1,0,1
51,equestrian,0,0,1,1
86,equestrian,0,1,0,1
60,equestrian,1,0,0,1
83,equestrian,0,1,0,1
88,equestrian,0,0,0,0
